"name","run.no.in.std.order","run.no","run.no.std.rp","version","threads","Blocks","machine","time"
"1","11",1,"11.1","base","4",".1",tupi,1.950300
"2","25",2,"25.1","seq","16",".1",tupi,4.558073
"3","6",3,"6.1","base","2",".1",tupi,4.690712
"4","17",4,"17.1","critical","8",".1",tupi,0.985649
"5","8",5,"8.1","false_sharing","2",".1",tupi,4.584385
"6","21",6,"21.1","base","16",".1",tupi,0.861156
"7","19",7,"19.1","reduction","8",".1",tupi,0.971479
"8","4",8,"4.1","reduction","1",".1",tupi,4.510141
"9","9",9,"9.1","reduction","2",".1",tupi,4.697651
"10","10",10,"10.1","seq","2",".1",tupi,4.646870
"11","12",11,"12.1","critical","4",".1",tupi,1.895896
"12","14",12,"14.1","reduction","4",".1",tupi,1.801970
"13","22",13,"22.1","critical","16",".1",tupi,0.748022
"14","23",14,"23.1","false_sharing","16",".1",tupi,0.772867
"15","7",15,"7.1","critical","2",".1",tupi,5.249900
"16","24",16,"24.1","reduction","16",".1",tupi,0.744827
"17","5",17,"5.1","seq","1",".1",tupi,4.630876
"18","20",18,"20.1","seq","8",".1",tupi,4.509731
"19","1",19,"1.1","base","1",".1",tupi,5.757729
"20","2",20,"2.1","critical","1",".1",tupi,5.002843
"21","13",21,"13.1","false_sharing","4",".1",tupi,1.816088
"22","16",22,"16.1","base","8",".1",tupi,0.966472
"23","15",23,"15.1","seq","4",".1",tupi,4.674775
"24","3",24,"3.1","false_sharing","1",".1",tupi,4.539507
"25","18",25,"18.1","false_sharing","8",".1",tupi,1.140682
"26","12",26,"12.2","critical","4",".2",tupi,2.042858
"27","22",27,"22.2","critical","16",".2",tupi,0.766613
"28","14",28,"14.2","reduction","4",".2",tupi,1.798643
"29","18",29,"18.2","false_sharing","8",".2",tupi,0.897463
"30","15",30,"15.2","seq","4",".2",tupi,4.534283
"31","23",31,"23.2","false_sharing","16",".2",tupi,0.772492
"32","3",32,"3.2","false_sharing","1",".2",tupi,4.652714
"33","16",33,"16.2","base","8",".2",tupi,0.967824
"34","2",34,"2.2","critical","1",".2",tupi,4.960208
"35","17",35,"17.2","critical","8",".2",tupi,0.857892
"36","8",36,"8.2","false_sharing","2",".2",tupi,4.624496
"37","24",37,"24.2","reduction","16",".2",tupi,0.742725
"38","9",38,"9.2","reduction","2",".2",tupi,5.076546
"39","4",39,"4.2","reduction","1",".2",tupi,4.916647
"40","25",40,"25.2","seq","16",".2",tupi,4.510892
"41","5",41,"5.2","seq","1",".2",tupi,4.510717
"42","21",42,"21.2","base","16",".2",tupi,0.871119
"43","13",43,"13.2","false_sharing","4",".2",tupi,1.816170
"44","7",44,"7.2","critical","2",".2",tupi,4.558261
"45","11",45,"11.2","base","4",".2",tupi,2.215520
"46","20",46,"20.2","seq","8",".2",tupi,5.546709
"47","19",47,"19.2","reduction","8",".2",tupi,0.962302
"48","1",48,"1.2","base","1",".2",tupi,4.756939
"49","10",49,"10.2","seq","2",".2",tupi,4.508094
"50","6",50,"6.2","base","2",".2",tupi,4.593745
"51","9",51,"9.3","reduction","2",".3",tupi,4.529230
"52","17",52,"17.3","critical","8",".3",tupi,1.006814
"53","16",53,"16.3","base","8",".3",tupi,0.981196
"54","7",54,"7.3","critical","2",".3",tupi,4.570093
"55","23",55,"23.3","false_sharing","16",".3",tupi,0.772234
"56","1",56,"1.3","base","1",".3",tupi,4.746207
"57","5",57,"5.3","seq","1",".3",tupi,4.509269
"58","15",58,"15.3","seq","4",".3",tupi,4.510132
"59","14",59,"14.3","reduction","4",".3",tupi,1.886508
"60","3",60,"3.3","false_sharing","1",".3",tupi,4.759164
"61","6",61,"6.3","base","2",".3",tupi,5.069632
"62","2",62,"2.3","critical","1",".3",tupi,4.516661
"63","12",63,"12.3","critical","4",".3",tupi,2.049527
"64","10",64,"10.3","seq","2",".3",tupi,4.560652
"65","25",65,"25.3","seq","16",".3",tupi,4.510874
"66","22",66,"22.3","critical","16",".3",tupi,0.745123
"67","11",67,"11.3","base","4",".3",tupi,1.853524
"68","8",68,"8.3","false_sharing","2",".3",tupi,4.628852
"69","20",69,"20.3","seq","8",".3",tupi,4.642836
"70","19",70,"19.3","reduction","8",".3",tupi,0.950044
"71","24",71,"24.3","reduction","16",".3",tupi,0.739182
"72","21",72,"21.3","base","16",".3",tupi,0.875298
"73","13",73,"13.3","false_sharing","4",".3",tupi,2.317901
"74","4",74,"4.3","reduction","1",".3",tupi,4.543414
"75","18",75,"18.3","false_sharing","8",".3",tupi,0.936029
"76","21",76,"21.4","base","16",".4",tupi,0.861970
"77","14",77,"14.4","reduction","4",".4",tupi,1.847595
"78","4",78,"4.4","reduction","1",".4",tupi,4.788096
"79","15",79,"15.4","seq","4",".4",tupi,4.886138
"80","11",80,"11.4","base","4",".4",tupi,1.861213
"81","13",81,"13.4","false_sharing","4",".4",tupi,1.923937
"82","5",82,"5.4","seq","1",".4",tupi,4.601295
"83","9",83,"9.4","reduction","2",".4",tupi,4.577651
"84","10",84,"10.4","seq","2",".4",tupi,4.589743
"85","1",85,"1.4","base","1",".4",tupi,4.624202
"86","19",86,"19.4","reduction","8",".4",tupi,0.958999
"87","8",87,"8.4","false_sharing","2",".4",tupi,4.722967
"88","22",88,"22.4","critical","16",".4",tupi,0.857231
"89","12",89,"12.4","critical","4",".4",tupi,1.927355
"90","16",90,"16.4","base","8",".4",tupi,0.944721
"91","7",91,"7.4","critical","2",".4",tupi,4.860833
"92","23",92,"23.4","false_sharing","16",".4",tupi,0.907218
"93","6",93,"6.4","base","2",".4",tupi,4.865430
"94","20",94,"20.4","seq","8",".4",tupi,4.925074
"95","17",95,"17.4","critical","8",".4",tupi,0.991308
"96","18",96,"18.4","false_sharing","8",".4",tupi,0.905510
"97","3",97,"3.4","false_sharing","1",".4",tupi,4.923697
"98","2",98,"2.4","critical","1",".4",tupi,4.722696
"99","24",99,"24.4","reduction","16",".4",tupi,0.815498
"100","25",100,"25.4","seq","16",".4",tupi,4.815821
"101","10",101,"10.5","seq","2",".5",tupi,4.707512
"102","21",102,"21.5","base","16",".5",tupi,0.951407
"103","8",103,"8.5","false_sharing","2",".5",tupi,4.994842
"104","22",104,"22.5","critical","16",".5",tupi,0.873147
"105","6",105,"6.5","base","2",".5",tupi,4.762368
"106","7",106,"7.5","critical","2",".5",tupi,4.564714
"107","18",107,"18.5","false_sharing","8",".5",tupi,0.908863
"108","19",108,"19.5","reduction","8",".5",tupi,0.897512
"109","24",109,"24.5","reduction","16",".5",tupi,0.756026
"110","4",110,"4.5","reduction","1",".5",tupi,4.542711
"111","1",111,"1.5","base","1",".5",tupi,4.540166
"112","2",112,"2.5","critical","1",".5",tupi,4.528157
"113","17",113,"17.5","critical","8",".5",tupi,0.908190
"114","13",114,"13.5","false_sharing","4",".5",tupi,1.815041
"115","9",115,"9.5","reduction","2",".5",tupi,4.534953
"116","5",116,"5.5","seq","1",".5",tupi,4.510117
"117","15",117,"15.5","seq","4",".5",tupi,4.658766
"118","3",118,"3.5","false_sharing","1",".5",tupi,4.543867
"119","11",119,"11.5","base","4",".5",tupi,1.802524
"120","20",120,"20.5","seq","8",".5",tupi,4.507199
"121","16",121,"16.5","base","8",".5",tupi,0.939404
"122","25",122,"25.5","seq","16",".5",tupi,4.510642
"123","12",123,"12.5","critical","4",".5",tupi,1.806115
"124","23",124,"23.5","false_sharing","16",".5",tupi,0.783771
"125","14",125,"14.5","reduction","4",".5",tupi,1.790622
"126","23",126,"23.6","false_sharing","16",".6",tupi,0.772245
"127","13",127,"13.6","false_sharing","4",".6",tupi,1.814673
"128","15",128,"15.6","seq","4",".6",tupi,4.506824
"129","7",129,"7.6","critical","2",".6",tupi,4.520013
"130","1",130,"1.6","base","1",".6",tupi,4.512837
"131","3",131,"3.6","false_sharing","1",".6",tupi,4.534344
"132","24",132,"24.6","reduction","16",".6",tupi,0.754190
"133","10",133,"10.6","seq","2",".6",tupi,4.508099
"134","2",134,"2.6","critical","1",".6",tupi,4.513302
"135","19",135,"19.6","reduction","8",".6",tupi,0.842484
"136","12",136,"12.6","critical","4",".6",tupi,1.805118
"137","6",137,"6.6","base","2",".6",tupi,4.519575
"138","22",138,"22.6","critical","16",".6",tupi,0.750069
"139","4",139,"4.6","reduction","1",".6",tupi,4.507374
"140","5",140,"5.6","seq","1",".6",tupi,4.654441
"141","17",141,"17.6","critical","8",".6",tupi,0.966028
"142","9",142,"9.6","reduction","2",".6",tupi,4.513492
"143","21",143,"21.6","base","16",".6",tupi,0.874455
"144","16",144,"16.6","base","8",".6",tupi,0.930849
"145","18",145,"18.6","false_sharing","8",".6",tupi,0.934169
"146","20",146,"20.6","seq","8",".6",tupi,4.507243
"147","8",147,"8.6","false_sharing","2",".6",tupi,4.542799
"148","25",148,"25.6","seq","16",".6",tupi,4.506452
"149","14",149,"14.6","reduction","4",".6",tupi,1.799751
"150","11",150,"11.6","base","4",".6",tupi,1.874622
"151","6",151,"6.7","base","2",".7",tupi,4.583928
"152","20",152,"20.7","seq","8",".7",tupi,4.514198
"153","23",153,"23.7","false_sharing","16",".7",tupi,0.772658
"154","13",154,"13.7","false_sharing","4",".7",tupi,1.813182
"155","24",155,"24.7","reduction","16",".7",tupi,0.752561
"156","22",156,"22.7","critical","16",".7",tupi,0.742190
"157","25",157,"25.7","seq","16",".7",tupi,4.507083
"158","8",158,"8.7","false_sharing","2",".7",tupi,4.543370
"159","7",159,"7.7","critical","2",".7",tupi,4.519627
"160","21",160,"21.7","base","16",".7",tupi,0.871202
"161","14",161,"14.7","reduction","4",".7",tupi,1.804349
"162","15",162,"15.7","seq","4",".7",tupi,4.508010
"163","10",163,"10.7","seq","2",".7",tupi,4.507007
"164","4",164,"4.7","reduction","1",".7",tupi,4.507066
"165","2",165,"2.7","critical","1",".7",tupi,4.514222
"166","16",166,"16.7","base","8",".7",tupi,0.874888
"167","9",167,"9.7","reduction","2",".7",tupi,4.514099
"168","3",168,"3.7","false_sharing","1",".7",tupi,4.533875
"169","12",169,"12.7","critical","4",".7",tupi,1.804082
"170","17",170,"17.7","critical","8",".7",tupi,0.964928
"171","18",171,"18.7","false_sharing","8",".7",tupi,0.974634
"172","1",172,"1.7","base","1",".7",tupi,4.513965
"173","5",173,"5.7","seq","1",".7",tupi,4.507531
"174","19",174,"19.7","reduction","8",".7",tupi,0.949569
"175","11",175,"11.7","base","4",".7",tupi,1.806861
"176","5",176,"5.8","seq","1",".8",tupi,4.506964
"177","14",177,"14.8","reduction","4",".8",tupi,1.798671
"178","1",178,"1.8","base","1",".8",tupi,4.513122
"179","15",179,"15.8","seq","4",".8",tupi,4.506832
"180","2",180,"2.8","critical","1",".8",tupi,4.512501
"181","3",181,"3.8","false_sharing","1",".8",tupi,4.533622
"182","8",182,"8.8","false_sharing","2",".8",tupi,4.541335
"183","25",183,"25.8","seq","16",".8",tupi,4.506730
"184","9",184,"9.8","reduction","2",".8",tupi,4.515389
"185","6",185,"6.8","base","2",".8",tupi,4.520994
"186","23",186,"23.8","false_sharing","16",".8",tupi,0.774353
"187","19",187,"19.8","reduction","8",".8",tupi,0.929259
"188","10",188,"10.8","seq","2",".8",tupi,4.507355
"189","20",189,"20.8","seq","8",".8",tupi,4.507129
"190","24",190,"24.8","reduction","16",".8",tupi,0.747689
"191","17",191,"17.8","critical","8",".8",tupi,0.875425
"192","21",192,"21.8","base","16",".8",tupi,0.884846
"193","16",193,"16.8","base","8",".8",tupi,0.966697
"194","11",194,"11.8","base","4",".8",tupi,1.803137
"195","22",195,"22.8","critical","16",".8",tupi,0.742365
"196","12",196,"12.8","critical","4",".8",tupi,1.802904
"197","18",197,"18.8","false_sharing","8",".8",tupi,0.989276
"198","7",198,"7.8","critical","2",".8",tupi,4.521612
"199","13",199,"13.8","false_sharing","4",".8",tupi,1.808015
"200","4",200,"4.8","reduction","1",".8",tupi,4.506795
"201","21",201,"21.9","base","16",".9",tupi,0.869379
"202","11",202,"11.9","base","4",".9",tupi,1.818342
"203","6",203,"6.9","base","2",".9",tupi,4.520338
"204","13",204,"13.9","false_sharing","4",".9",tupi,1.813577
"205","4",205,"4.9","reduction","1",".9",tupi,4.507350
"206","19",206,"19.9","reduction","8",".9",tupi,0.971054
"207","7",207,"7.9","critical","2",".9",tupi,4.520986
"208","5",208,"5.9","seq","1",".9",tupi,4.507286
"209","17",209,"17.9","critical","8",".9",tupi,0.914999
"210","22",210,"22.9","critical","16",".9",tupi,0.742087
"211","25",211,"25.9","seq","16",".9",tupi,4.507902
"212","8",212,"8.9","false_sharing","2",".9",tupi,4.542269
"213","23",213,"23.9","false_sharing","16",".9",tupi,0.784415
"214","9",214,"9.9","reduction","2",".9",tupi,4.515285
"215","24",215,"24.9","reduction","16",".9",tupi,0.763341
"216","10",216,"10.9","seq","2",".9",tupi,4.507766
"217","20",217,"20.9","seq","8",".9",tupi,4.507027
"218","12",218,"12.9","critical","4",".9",tupi,1.822303
"219","1",219,"1.9","base","1",".9",tupi,4.513078
"220","15",220,"15.9","seq","4",".9",tupi,4.507436
"221","14",221,"14.9","reduction","4",".9",tupi,1.795330
"222","18",222,"18.9","false_sharing","8",".9",tupi,0.987649
"223","16",223,"16.9","base","8",".9",tupi,1.012862
"224","3",224,"3.9","false_sharing","1",".9",tupi,4.534106
"225","2",225,"2.9","critical","1",".9",tupi,4.513029
"226","17",226,"17.10","critical","8",".10",tupi,0.975197
"227","15",227,"15.10","seq","4",".10",tupi,4.506556
"228","4",228,"4.10","reduction","1",".10",tupi,4.506981
"229","3",229,"3.10","false_sharing","1",".10",tupi,4.534032
"230","8",230,"8.10","false_sharing","2",".10",tupi,4.541590
"231","18",231,"18.10","false_sharing","8",".10",tupi,0.959491
"232","2",232,"2.10","critical","1",".10",tupi,4.512684
"233","12",233,"12.10","critical","4",".10",tupi,1.805211
"234","22",234,"22.10","critical","16",".10",tupi,0.742450
"235","13",235,"13.10","false_sharing","4",".10",tupi,1.812478
"236","14",236,"14.10","reduction","4",".10",tupi,1.798123
"237","1",237,"1.10","base","1",".10",tupi,4.513762
"238","10",238,"10.10","seq","2",".10",tupi,4.507135
"239","25",239,"25.10","seq","16",".10",tupi,4.507247
"240","19",240,"19.10","reduction","8",".10",tupi,0.991924
"241","6",241,"6.10","base","2",".10",tupi,4.520617
"242","24",242,"24.10","reduction","16",".10",tupi,0.744637
"243","16",243,"16.10","base","8",".10",tupi,0.953282
"244","11",244,"11.10","base","4",".10",tupi,1.799521
"245","21",245,"21.10","base","16",".10",tupi,0.746358
"246","7",246,"7.10","critical","2",".10",tupi,4.521111
"247","9",247,"9.10","reduction","2",".10",tupi,4.514529
"248","23",248,"23.10","false_sharing","16",".10",tupi,0.773867
"249","20",249,"20.10","seq","8",".10",tupi,4.507090
"250","5",250,"5.10","seq","1",".10",tupi,4.509586
"251","3",251,"3.11","false_sharing","1",".11",tupi,4.534599
"252","15",252,"15.11","seq","4",".11",tupi,4.506674
"253","2",253,"2.11","critical","1",".11",tupi,4.977547
"254","8",254,"8.11","false_sharing","2",".11",tupi,4.544190
"255","21",255,"21.11","base","16",".11",tupi,0.862189
"256","12",256,"12.11","critical","4",".11",tupi,1.804048
"257","24",257,"24.11","reduction","16",".11",tupi,0.746087
"258","18",258,"18.11","false_sharing","8",".11",tupi,0.925795
"259","10",259,"10.11","seq","2",".11",tupi,4.506891
"260","13",260,"13.11","false_sharing","4",".11",tupi,1.810526
"261","1",261,"1.11","base","1",".11",tupi,4.512739
"262","23",262,"23.11","false_sharing","16",".11",tupi,0.783908
"263","20",263,"20.11","seq","8",".11",tupi,4.507860
"264","6",264,"6.11","base","2",".11",tupi,4.980624
"265","17",265,"17.11","critical","8",".11",tupi,0.914343
"266","22",266,"22.11","critical","16",".11",tupi,0.766834
"267","9",267,"9.11","reduction","2",".11",tupi,4.515143
"268","5",268,"5.11","seq","1",".11",tupi,4.506563
"269","7",269,"7.11","critical","2",".11",tupi,4.973828
"270","11",270,"11.11","base","4",".11",tupi,1.802278
"271","19",271,"19.11","reduction","8",".11",tupi,0.931611
"272","4",272,"4.11","reduction","1",".11",tupi,4.921815
"273","16",273,"16.11","base","8",".11",tupi,0.896640
"274","14",274,"14.11","reduction","4",".11",tupi,1.807201
"275","25",275,"25.11","seq","16",".11",tupi,4.506997
"276","10",276,"10.12","seq","2",".12",tupi,4.506804
"277","9",277,"9.12","reduction","2",".12",tupi,4.516350
"278","23",278,"23.12","false_sharing","16",".12",tupi,0.772279
"279","6",279,"6.12","base","2",".12",tupi,5.034687
"280","14",280,"14.12","reduction","4",".12",tupi,1.880762
"281","12",281,"12.12","critical","4",".12",tupi,1.802700
"282","4",282,"4.12","reduction","1",".12",tupi,4.507241
"283","8",283,"8.12","false_sharing","2",".12",tupi,5.431586
"284","7",284,"7.12","critical","2",".12",tupi,4.974035
"285","15",285,"15.12","seq","4",".12",tupi,4.506441
"286","2",286,"2.12","critical","1",".12",tupi,4.964473
"287","13",287,"13.12","false_sharing","4",".12",tupi,1.847114
"288","17",288,"17.12","critical","8",".12",tupi,0.976083
"289","18",289,"18.12","false_sharing","8",".12",tupi,1.010404
"290","25",290,"25.12","seq","16",".12",tupi,4.507726
"291","11",291,"11.12","base","4",".12",tupi,1.794504
"292","24",292,"24.12","reduction","16",".12",tupi,0.741961
"293","3",293,"3.12","false_sharing","1",".12",tupi,5.029835
"294","16",294,"16.12","base","8",".12",tupi,0.935708
"295","5",295,"5.12","seq","1",".12",tupi,4.506774
"296","19",296,"19.12","reduction","8",".12",tupi,0.990183
"297","20",297,"20.12","seq","8",".12",tupi,4.507845
"298","22",298,"22.12","critical","16",".12",tupi,0.741933
"299","21",299,"21.12","base","16",".12",tupi,0.862869
"300","1",300,"1.12","base","1",".12",tupi,4.973402
"301","10",301,"10.13","seq","2",".13",tupi,4.507037
"302","17",302,"17.13","critical","8",".13",tupi,1.104427
"303","14",303,"14.13","reduction","4",".13",tupi,1.804404
"304","21",304,"21.13","base","16",".13",tupi,0.867954
