app,threads,metric,value,machine
base,1,time,1.953917,draco1
critical,1,time,1.923510,draco1
false_sharing,1,time,1.922766,draco1
reduction,1,time,0.067153,draco1
seq,1,time,1.932835,draco1
base,2,time,1.808338,draco1
critical,2,time,1.002274,draco1
false_sharing,2,time,1.648262,draco1
reduction,2,time,1.073026,draco1
seq,2,time,1.932081,draco1
base,4,time,1.481668,draco1
critical,4,time,0.522505,draco1
false_sharing,4,time,0.994184,draco1
reduction,4,time,0.378653,draco1
seq,4,time,1.931678,draco1
base,8,time,0.714691,draco1
critical,8,time,0.261842,draco1
false_sharing,8,time,0.627014,draco1
reduction,8,time,0.176982,draco1
seq,8,time,1.931684,draco1
base,1,time,1.923543,draco1
critical,1,time,1.922734,draco1
false_sharing,1,time,1.923592,draco1
reduction,1,time,0.067154,draco1
seq,1,time,1.932832,draco1
base,2,time,1.823764,draco1
critical,2,time,1.002390,draco1
false_sharing,2,time,1.864300,draco1
reduction,2,time,1.100249,draco1
seq,2,time,1.931695,draco1
base,4,time,1.904527,draco1
critical,4,time,0.522538,draco1
false_sharing,4,time,0.522459,draco1
reduction,4,time,0.377640,draco1
seq,4,time,1.931658,draco1
base,8,time,0.869634,draco1
critical,8,time,0.261873,draco1
false_sharing,8,time,0.529762,draco1
reduction,8,time,0.186099,draco1
seq,8,time,1.932206,draco1
base,1,time,1.923182,draco1
critical,1,time,1.923058,draco1
false_sharing,1,time,1.922575,draco1
reduction,1,time,0.067164,draco1
seq,1,time,1.933056,draco1
base,2,time,1.849737,draco1
critical,2,time,1.002578,draco1
false_sharing,2,time,1.734281,draco1
reduction,2,time,1.075259,draco1
seq,2,time,1.932505,draco1
base,4,time,1.556029,draco1
critical,4,time,0.522485,draco1
false_sharing,4,time,0.907894,draco1
reduction,4,time,0.376150,draco1
seq,4,time,1.933218,draco1
base,8,time,1.264573,draco1
critical,8,time,0.263498,draco1
false_sharing,8,time,0.509498,draco1
reduction,8,time,0.187298,draco1
seq,8,time,1.931925,draco1
base,1,time,1.923621,draco1
critical,1,time,1.922754,draco1
false_sharing,1,time,1.923256,draco1
reduction,1,time,0.067128,draco1
seq,1,time,1.931666,draco1
base,2,time,1.832243,draco1
critical,2,time,1.001848,draco1
false_sharing,2,time,1.630845,draco1
reduction,2,time,1.074673,draco1
seq,2,time,1.931614,draco1
base,4,time,1.464029,draco1
critical,4,time,0.522506,draco1
false_sharing,4,time,0.522504,draco1
reduction,4,time,0.374997,draco1
seq,4,time,1.932060,draco1
base,8,time,1.698087,draco1
critical,8,time,0.261450,draco1
false_sharing,8,time,0.495520,draco1
reduction,8,time,0.190371,draco1
seq,8,time,1.932879,draco1
base,1,time,1.922865,draco1
critical,1,time,1.923691,draco1
