app,threads,metric,value,machine
base,1,time,1.627798,hype2
critical,1,time,1.609851,hype2
false_sharing,1,time,1.609896,hype2
reduction,1,time,0.049487,hype2
seq,1,time,1.610410,hype2
base,2,time,1.984998,hype2
critical,2,time,0.836966,hype2
false_sharing,2,time,0.822948,hype2
reduction,2,time,0.049363,hype2
seq,2,time,1.610634,hype2
base,4,time,0.648354,hype2
critical,4,time,0.424356,hype2
false_sharing,4,time,0.802961,hype2
reduction,4,time,0.049219,hype2
seq,4,time,1.610563,hype2
base,8,time,1.239531,hype2
critical,8,time,0.234607,hype2
false_sharing,8,time,0.230411,hype2
reduction,8,time,0.049107,hype2
seq,8,time,1.610671,hype2
base,10,time,0.994411,hype2
critical,10,time,0.193266,hype2
false_sharing,10,time,0.189621,hype2
reduction,10,time,0.049045,hype2
seq,10,time,1.610164,hype2
base,1,time,1.610232,hype2
critical,1,time,1.608898,hype2
false_sharing,1,time,1.609596,hype2
reduction,1,time,0.049220,hype2
seq,1,time,1.610407,hype2
base,2,time,1.984187,hype2
critical,2,time,0.837587,hype2
false_sharing,2,time,1.348899,hype2
reduction,2,time,0.049238,hype2
seq,2,time,1.610036,hype2
base,4,time,1.354511,hype2
critical,4,time,0.423543,hype2
false_sharing,4,time,0.789185,hype2
reduction,4,time,0.049211,hype2
seq,4,time,1.609876,hype2
base,8,time,0.701533,hype2
critical,8,time,0.234434,hype2
false_sharing,8,time,0.230407,hype2
reduction,8,time,0.049001,hype2
seq,8,time,1.609371,hype2
base,10,time,1.469803,hype2
critical,10,time,0.193353,hype2
false_sharing,10,time,0.410513,hype2
reduction,10,time,0.049049,hype2
seq,10,time,1.609792,hype2
base,1,time,1.609499,hype2
critical,1,time,1.609830,hype2
false_sharing,1,time,1.609962,hype2
reduction,1,time,0.049310,hype2
seq,1,time,1.610172,hype2
base,2,time,1.982713,hype2
critical,2,time,0.838049,hype2
false_sharing,2,time,1.349156,hype2
reduction,2,time,0.049238,hype2
seq,2,time,1.609897,hype2
base,4,time,1.017443,hype2
critical,4,time,0.423731,hype2
false_sharing,4,time,0.828285,hype2
reduction,4,time,0.049354,hype2
seq,4,time,1.610084,hype2
base,8,time,1.185762,hype2
critical,8,time,0.234377,hype2
false_sharing,8,time,0.510748,hype2
reduction,8,time,0.049011,hype2
seq,8,time,1.610044,hype2
base,10,time,1.354984,hype2
critical,10,time,0.193511,hype2
false_sharing,10,time,0.189864,hype2
reduction,10,time,0.049327,hype2
seq,10,time,1.609672,hype2
base,1,time,1.610010,hype2
critical,1,time,1.609789,hype2
false_sharing,1,time,1.609402,hype2
reduction,1,time,0.049277,hype2
seq,1,time,1.609863,hype2
base,2,time,1.987460,hype2
critical,2,time,0.838073,hype2
false_sharing,2,time,1.348246,hype2
