app,threads,metric,value,machine
base,1,time,1.271887,tupi2
critical,1,time,1.270247,tupi2
false_sharing,1,time,1.270177,tupi2
reduction,1,time,0.107459,tupi2
seq,1,time,1.271751,tupi2
base,2,time,1.737425,tupi2
critical,2,time,0.654470,tupi2
false_sharing,2,time,1.080710,tupi2
reduction,2,time,0.107460,tupi2
seq,2,time,1.271999,tupi2
base,4,time,1.138224,tupi2
critical,4,time,0.336670,tupi2
false_sharing,4,time,0.728870,tupi2
reduction,4,time,0.107437,tupi2
seq,4,time,1.272407,tupi2
base,8,time,0.882950,tupi2
critical,8,time,0.188017,tupi2
false_sharing,8,time,0.458633,tupi2
reduction,8,time,0.107461,tupi2
seq,8,time,1.272312,tupi2
base,1,time,1.269839,tupi2
critical,1,time,1.269943,tupi2
false_sharing,1,time,1.270035,tupi2
reduction,1,time,0.107465,tupi2
seq,1,time,1.272144,tupi2
base,2,time,1.757138,tupi2
critical,2,time,0.653760,tupi2
false_sharing,2,time,1.080564,tupi2
reduction,2,time,0.107489,tupi2
seq,2,time,1.272144,tupi2
base,4,time,1.530763,tupi2
critical,4,time,0.336702,tupi2
false_sharing,4,time,0.732071,tupi2
reduction,4,time,0.107425,tupi2
seq,4,time,1.271930,tupi2
base,8,time,0.883176,tupi2
critical,8,time,0.187850,tupi2
false_sharing,8,time,0.187203,tupi2
reduction,8,time,0.107551,tupi2
seq,8,time,1.272331,tupi2
base,1,time,1.269739,tupi2
critical,1,time,1.269689,tupi2
false_sharing,1,time,1.270766,tupi2
reduction,1,time,0.107462,tupi2
seq,1,time,1.273414,tupi2
base,2,time,1.768652,tupi2
critical,2,time,0.653358,tupi2
false_sharing,2,time,1.081064,tupi2
reduction,2,time,0.107487,tupi2
seq,2,time,1.272880,tupi2
base,4,time,0.519770,tupi2
critical,4,time,0.336580,tupi2
false_sharing,4,time,0.734736,tupi2
reduction,4,time,0.107509,tupi2
seq,4,time,1.272026,tupi2
base,8,time,1.485740,tupi2
critical,8,time,0.186970,tupi2
