"name","run.no.in.std.order","run.no","run.no.std.rp","version","threads","Blocks","time"
"1","15",1,"15.1","seq","4",".1",""
"2","16",2,"16.1","base","8",".1",""
"3","9",3,"9.1","reduction","2",".1",""
"4","25",4,"25.1","seq","10",".1",""
"5","11",5,"11.1","base","4",".1",""
"6","12",6,"12.1","critical","4",".1",""
"7","29",7,"29.1","reduction","20",".1",""
"8","6",8,"6.1","base","2",".1",""
"9","14",9,"14.1","reduction","4",".1",""
"10","34",10,"34.1","reduction","40",".1",""
"11","19",11,"19.1","reduction","8",".1",""
"12","23",12,"23.1","false_sharing","10",".1",""
"13","35",13,"35.1","seq","40",".1",""
"14","10",14,"10.1","seq","2",".1",""
"15","13",15,"13.1","false_sharing","4",".1",""
"16","27",16,"27.1","critical","20",".1",""
"17","31",17,"31.1","base","40",".1",""
"18","26",18,"26.1","base","20",".1",""
"19","3",19,"3.1","false_sharing","1",".1",""
"20","4",20,"4.1","reduction","1",".1",""
"21","21",21,"21.1","base","10",".1",""
"22","1",22,"1.1","base","1",".1",""
"23","28",23,"28.1","false_sharing","20",".1",""
"24","22",24,"22.1","critical","10",".1",""
"25","33",25,"33.1","false_sharing","40",".1",""
"26","5",26,"5.1","seq","1",".1",""
"27","32",27,"32.1","critical","40",".1",""
"28","30",28,"30.1","seq","20",".1",""
"29","24",29,"24.1","reduction","10",".1",""
"30","8",30,"8.1","false_sharing","2",".1",""
"31","18",31,"18.1","false_sharing","8",".1",""
"32","20",32,"20.1","seq","8",".1",""
"33","17",33,"17.1","critical","8",".1",""
"34","7",34,"7.1","critical","2",".1",""
"35","2",35,"2.1","critical","1",".1",""
"36","17",36,"17.2","critical","8",".2",""
"37","5",37,"5.2","seq","1",".2",""
"38","21",38,"21.2","base","10",".2",""
"39","9",39,"9.2","reduction","2",".2",""
"40","12",40,"12.2","critical","4",".2",""
"41","15",41,"15.2","seq","4",".2",""
"42","23",42,"23.2","false_sharing","10",".2",""
"43","27",43,"27.2","critical","20",".2",""
"44","25",44,"25.2","seq","10",".2",""
"45","18",45,"18.2","false_sharing","8",".2",""
"46","10",46,"10.2","seq","2",".2",""
"47","30",47,"30.2","seq","20",".2",""
"48","34",48,"34.2","reduction","40",".2",""
"49","14",49,"14.2","reduction","4",".2",""
"50","31",50,"31.2","base","40",".2",""
"51","8",51,"8.2","false_sharing","2",".2",""
"52","13",52,"13.2","false_sharing","4",".2",""
"53","19",53,"19.2","reduction","8",".2",""
"54","6",54,"6.2","base","2",".2",""
"55","33",55,"33.2","false_sharing","40",".2",""
"56","1",56,"1.2","base","1",".2",""
"57","4",57,"4.2","reduction","1",".2",""
"58","11",58,"11.2","base","4",".2",""
"59","28",59,"28.2","false_sharing","20",".2",""
"60","2",60,"2.2","critical","1",".2",""
"61","22",61,"22.2","critical","10",".2",""
"62","26",62,"26.2","base","20",".2",""
"63","20",63,"20.2","seq","8",".2",""
"64","35",64,"35.2","seq","40",".2",""
"65","29",65,"29.2","reduction","20",".2",""
"66","16",66,"16.2","base","8",".2",""
"67","7",67,"7.2","critical","2",".2",""
"68","3",68,"3.2","false_sharing","1",".2",""
"69","24",69,"24.2","reduction","10",".2",""
"70","32",70,"32.2","critical","40",".2",""
"71","11",71,"11.3","base","4",".3",""
"72","19",72,"19.3","reduction","8",".3",""
"73","35",73,"35.3","seq","40",".3",""
"74","16",74,"16.3","base","8",".3",""
"75","34",75,"34.3","reduction","40",".3",""
"76","25",76,"25.3","seq","10",".3",""
"77","17",77,"17.3","critical","8",".3",""
"78","4",78,"4.3","reduction","1",".3",""
"79","31",79,"31.3","base","40",".3",""
"80","14",80,"14.3","reduction","4",".3",""
"81","29",81,"29.3","reduction","20",".3",""
"82","6",82,"6.3","base","2",".3",""
"83","12",83,"12.3","critical","4",".3",""
"84","23",84,"23.3","false_sharing","10",".3",""
"85","1",85,"1.3","base","1",".3",""
"86","7",86,"7.3","critical","2",".3",""
"87","33",87,"33.3","false_sharing","40",".3",""
"88","20",88,"20.3","seq","8",".3",""
"89","30",89,"30.3","seq","20",".3",""
"90","2",90,"2.3","critical","1",".3",""
"91","10",91,"10.3","seq","2",".3",""
"92","24",92,"24.3","reduction","10",".3",""
"93","15",93,"15.3","seq","4",".3",""
"94","9",94,"9.3","reduction","2",".3",""
"95","13",95,"13.3","false_sharing","4",".3",""
"96","18",96,"18.3","false_sharing","8",".3",""
"97","27",97,"27.3","critical","20",".3",""
"98","28",98,"28.3","false_sharing","20",".3",""
"99","26",99,"26.3","base","20",".3",""
"100","32",100,"32.3","critical","40",".3",""
"101","22",101,"22.3","critical","10",".3",""
"102","8",102,"8.3","false_sharing","2",".3",""
"103","21",103,"21.3","base","10",".3",""
"104","5",104,"5.3","seq","1",".3",""
"105","3",105,"3.3","false_sharing","1",".3",""
"106","12",106,"12.4","critical","4",".4",""
"107","32",107,"32.4","critical","40",".4",""
"108","34",108,"34.4","reduction","40",".4",""
"109","10",109,"10.4","seq","2",".4",""
"110","6",110,"6.4","base","2",".4",""
"111","1",111,"1.4","base","1",".4",""
"112","3",112,"3.4","false_sharing","1",".4",""
"113","13",113,"13.4","false_sharing","4",".4",""
"114","35",114,"35.4","seq","40",".4",""
"115","21",115,"21.4","base","10",".4",""
"116","11",116,"11.4","base","4",".4",""
"117","30",117,"30.4","seq","20",".4",""
"118","8",118,"8.4","false_sharing","2",".4",""
"119","29",119,"29.4","reduction","20",".4",""
"120","24",120,"24.4","reduction","10",".4",""
"121","16",121,"16.4","base","8",".4",""
"122","17",122,"17.4","critical","8",".4",""
"123","31",123,"31.4","base","40",".4",""
"124","22",124,"22.4","critical","10",".4",""
"125","4",125,"4.4","reduction","1",".4",""
"126","14",126,"14.4","reduction","4",".4",""
"127","23",127,"23.4","false_sharing","10",".4",""
"128","9",128,"9.4","reduction","2",".4",""
"129","20",129,"20.4","seq","8",".4",""
"130","26",130,"26.4","base","20",".4",""
"131","2",131,"2.4","critical","1",".4",""
"132","18",132,"18.4","false_sharing","8",".4",""
"133","5",133,"5.4","seq","1",".4",""
"134","25",134,"25.4","seq","10",".4",""
"135","15",135,"15.4","seq","4",".4",""
"136","27",136,"27.4","critical","20",".4",""
"137","33",137,"33.4","false_sharing","40",".4",""
"138","28",138,"28.4","false_sharing","20",".4",""
"139","7",139,"7.4","critical","2",".4",""
"140","19",140,"19.4","reduction","8",".4",""
"141","5",141,"5.5","seq","1",".5",""
"142","34",142,"34.5","reduction","40",".5",""
"143","2",143,"2.5","critical","1",".5",""
"144","29",144,"29.5","reduction","20",".5",""
"145","7",145,"7.5","critical","2",".5",""
"146","14",146,"14.5","reduction","4",".5",""
"147","6",147,"6.5","base","2",".5",""
"148","4",148,"4.5","reduction","1",".5",""
"149","20",149,"20.5","seq","8",".5",""
"150","24",150,"24.5","reduction","10",".5",""
"151","32",151,"32.5","critical","40",".5",""
"152","27",152,"27.5","critical","20",".5",""
"153","23",153,"23.5","false_sharing","10",".5",""
"154","13",154,"13.5","false_sharing","4",".5",""
"155","26",155,"26.5","base","20",".5",""
"156","22",156,"22.5","critical","10",".5",""
"157","25",157,"25.5","seq","10",".5",""
"158","8",158,"8.5","false_sharing","2",".5",""
"159","31",159,"31.5","base","40",".5",""
"160","21",160,"21.5","base","10",".5",""
"161","30",161,"30.5","seq","20",".5",""
"162","15",162,"15.5","seq","4",".5",""
"163","10",163,"10.5","seq","2",".5",""
"164","28",164,"28.5","false_sharing","20",".5",""
"165","33",165,"33.5","false_sharing","40",".5",""
"166","16",166,"16.5","base","8",".5",""
"167","9",167,"9.5","reduction","2",".5",""
"168","3",168,"3.5","false_sharing","1",".5",""
"169","12",169,"12.5","critical","4",".5",""
"170","17",170,"17.5","critical","8",".5",""
"171","18",171,"18.5","false_sharing","8",".5",""
"172","1",172,"1.5","base","1",".5",""
"173","35",173,"35.5","seq","40",".5",""
"174","19",174,"19.5","reduction","8",".5",""
"175","11",175,"11.5","base","4",".5",""
"176","6",176,"6.6","base","2",".6",""
"177","20",177,"20.6","seq","8",".6",""
"178","2",178,"2.6","critical","1",".6",""
"179","21",179,"21.6","base","10",".6",""
"180","33",180,"33.6","false_sharing","40",".6",""
"181","4",181,"4.6","reduction","1",".6",""
"182","12",182,"12.6","critical","4",".6",""
"183","7",183,"7.6","critical","2",".6",""
"184","14",184,"14.6","reduction","4",".6",""
"185","9",185,"9.6","reduction","2",".6",""
"186","1",186,"1.6","base","1",".6",""
"187","27",187,"27.6","critical","20",".6",""
"188","18",188,"18.6","false_sharing","8",".6",""
"189","5",189,"5.6","seq","1",".6",""
"190","24",190,"24.6","reduction","10",".6",""
"191","23",191,"23.6","false_sharing","10",".6",""
"192","22",192,"22.6","critical","10",".6",""
"193","29",193,"29.6","reduction","20",".6",""
"194","13",194,"13.6","false_sharing","4",".6",""
"195","25",195,"25.6","seq","10",".6",""
"196","28",196,"28.6","false_sharing","20",".6",""
"197","11",197,"11.6","base","4",".6",""
"198","3",198,"3.6","false_sharing","1",".6",""
"199","15",199,"15.6","seq","4",".6",""
"200","17",200,"17.6","critical","8",".6",""
"201","26",201,"26.6","base","20",".6",""
"202","30",202,"30.6","seq","20",".6",""
"203","32",203,"32.6","critical","40",".6",""
"204","10",204,"10.6","seq","2",".6",""
"205","31",205,"31.6","base","40",".6",""
"206","19",206,"19.6","reduction","8",".6",""
"207","35",207,"35.6","seq","40",".6",""
"208","16",208,"16.6","base","8",".6",""
"209","34",209,"34.6","reduction","40",".6",""
"210","8",210,"8.6","false_sharing","2",".6",""
"211","8",211,"8.7","false_sharing","2",".7",""
"212","18",212,"18.7","false_sharing","8",".7",""
"213","15",213,"15.7","seq","4",".7",""
"214","24",214,"24.7","reduction","10",".7",""
"215","31",215,"31.7","base","40",".7",""
"216","30",216,"30.7","seq","20",".7",""
"217","21",217,"21.7","base","10",".7",""
"218","22",218,"22.7","critical","10",".7",""
"219","1",219,"1.7","base","1",".7",""
"220","17",220,"17.7","critical","8",".7",""
"221","3",221,"3.7","false_sharing","1",".7",""
"222","2",222,"2.7","critical","1",".7",""
"223","32",223,"32.7","critical","40",".7",""
"224","35",224,"35.7","seq","40",".7",""
"225","13",225,"13.7","false_sharing","4",".7",""
"226","14",226,"14.7","reduction","4",".7",""
"227","12",227,"12.7","critical","4",".7",""
"228","25",228,"25.7","seq","10",".7",""
"229","34",229,"34.7","reduction","40",".7",""
"230","6",230,"6.7","base","2",".7",""
"231","20",231,"20.7","seq","8",".7",""
"232","23",232,"23.7","false_sharing","10",".7",""
"233","9",233,"9.7","reduction","2",".7",""
"234","33",234,"33.7","false_sharing","40",".7",""
"235","29",235,"29.7","reduction","20",".7",""
"236","11",236,"11.7","base","4",".7",""
"237","27",237,"27.7","critical","20",".7",""
"238","16",238,"16.7","base","8",".7",""
"239","19",239,"19.7","reduction","8",".7",""
"240","7",240,"7.7","critical","2",".7",""
"241","26",241,"26.7","base","20",".7",""
"242","10",242,"10.7","seq","2",".7",""
"243","28",243,"28.7","false_sharing","20",".7",""
"244","4",244,"4.7","reduction","1",".7",""
"245","5",245,"5.7","seq","1",".7",""
"246","9",246,"9.8","reduction","2",".8",""
"247","6",247,"6.8","base","2",".8",""
"248","8",248,"8.8","false_sharing","2",".8",""
"249","35",249,"35.8","seq","40",".8",""
"250","29",250,"29.8","reduction","20",".8",""
"251","3",251,"3.8","false_sharing","1",".8",""
"252","19",252,"19.8","reduction","8",".8",""
"253","30",253,"30.8","seq","20",".8",""
"254","10",254,"10.8","seq","2",".8",""
"255","26",255,"26.8","base","20",".8",""
"256","15",256,"15.8","seq","4",".8",""
"257","31",257,"31.8","base","40",".8",""
"258","23",258,"23.8","false_sharing","10",".8",""
"259","12",259,"12.8","critical","4",".8",""
"260","17",260,"17.8","critical","8",".8",""
"261","1",261,"1.8","base","1",".8",""
"262","2",262,"2.8","critical","1",".8",""
"263","16",263,"16.8","base","8",".8",""
"264","33",264,"33.8","false_sharing","40",".8",""
"265","25",265,"25.8","seq","10",".8",""
"266","22",266,"22.8","critical","10",".8",""
"267","14",267,"14.8","reduction","4",".8",""
"268","21",268,"21.8","base","10",".8",""
"269","11",269,"11.8","base","4",".8",""
"270","32",270,"32.8","critical","40",".8",""
"271","24",271,"24.8","reduction","10",".8",""
"272","13",272,"13.8","false_sharing","4",".8",""
"273","20",273,"20.8","seq","8",".8",""
"274","34",274,"34.8","reduction","40",".8",""
"275","28",275,"28.8","false_sharing","20",".8",""
"276","27",276,"27.8","critical","20",".8",""
"277","5",277,"5.8","seq","1",".8",""
"278","7",278,"7.8","critical","2",".8",""
"279","18",279,"18.8","false_sharing","8",".8",""
"280","4",280,"4.8","reduction","1",".8",""
"281","21",281,"21.9","base","10",".9",""
"282","7",282,"7.9","critical","2",".9",""
"283","13",283,"13.9","false_sharing","4",".9",""
"284","33",284,"33.9","false_sharing","40",".9",""
"285","28",285,"28.9","false_sharing","20",".9",""
"286","3",286,"3.9","false_sharing","1",".9",""
"287","26",287,"26.9","base","20",".9",""
"288","14",288,"14.9","reduction","4",".9",""
"289","18",289,"18.9","false_sharing","8",".9",""
"290","23",290,"23.9","false_sharing","10",".9",""
"291","24",291,"24.9","reduction","10",".9",""
"292","25",292,"25.9","seq","10",".9",""
"293","6",293,"6.9","base","2",".9",""
"294","5",294,"5.9","seq","1",".9",""
"295","16",295,"16.9","base","8",".9",""
"296","31",296,"31.9","base","40",".9",""
"297","11",297,"11.9","base","4",".9",""
"298","17",298,"17.9","critical","8",".9",""
"299","10",299,"10.9","seq","2",".9",""
"300","30",300,"30.9","seq","20",".9",""
"301","29",301,"29.9","reduction","20",".9",""
"302","27",302,"27.9","critical","20",".9",""
"303","8",303,"8.9","false_sharing","2",".9",""
"304","12",304,"12.9","critical","4",".9",""
"305","9",305,"9.9","reduction","2",".9",""
"306","19",306,"19.9","reduction","8",".9",""
"307","1",307,"1.9","base","1",".9",""
"308","22",308,"22.9","critical","10",".9",""
"309","32",309,"32.9","critical","40",".9",""
"310","15",310,"15.9","seq","4",".9",""
"311","35",311,"35.9","seq","40",".9",""
"312","20",312,"20.9","seq","8",".9",""
"313","2",313,"2.9","critical","1",".9",""
"314","4",314,"4.9","reduction","1",".9",""
"315","34",315,"34.9","reduction","40",".9",""
"316","34",316,"34.10","reduction","40",".10",""
"317","1",317,"1.10","base","1",".10",""
"318","13",318,"13.10","false_sharing","4",".10",""
"319","29",319,"29.10","reduction","20",".10",""
"320","33",320,"33.10","false_sharing","40",".10",""
"321","28",321,"28.10","false_sharing","20",".10",""
"322","7",322,"7.10","critical","2",".10",""
"323","30",323,"30.10","seq","20",".10",""
"324","18",324,"18.10","false_sharing","8",".10",""
"325","12",325,"12.10","critical","4",".10",""
"326","26",326,"26.10","base","20",".10",""
"327","6",327,"6.10","base","2",".10",""
"328","2",328,"2.10","critical","1",".10",""
"329","23",329,"23.10","false_sharing","10",".10",""
"330","17",330,"17.10","critical","8",".10",""
"331","19",331,"19.10","reduction","8",".10",""
"332","22",332,"22.10","critical","10",".10",""
"333","35",333,"35.10","seq","40",".10",""
"334","20",334,"20.10","seq","8",".10",""
"335","24",335,"24.10","reduction","10",".10",""
"336","5",336,"5.10","seq","1",".10",""
"337","32",337,"32.10","critical","40",".10",""
"338","16",338,"16.10","base","8",".10",""
"339","21",339,"21.10","base","10",".10",""
"340","3",340,"3.10","false_sharing","1",".10",""
"341","8",341,"8.10","false_sharing","2",".10",""
"342","14",342,"14.10","reduction","4",".10",""
"343","25",343,"25.10","seq","10",".10",""
"344","9",344,"9.10","reduction","2",".10",""
"345","10",345,"10.10","seq","2",".10",""
"346","15",346,"15.10","seq","4",".10",""
"347","11",347,"11.10","base","4",".10",""
"348","4",348,"4.10","reduction","1",".10",""
"349","27",349,"27.10","critical","20",".10",""
"350","31",350,"31.10","base","40",".10",""
"351","18",351,"18.11","false_sharing","8",".11",""
"352","27",352,"27.11","critical","20",".11",""
"353","15",353,"15.11","seq","4",".11",""
"354","4",354,"4.11","reduction","1",".11",""
"355","8",355,"8.11","false_sharing","2",".11",""
"356","13",356,"13.11","false_sharing","4",".11",""
"357","23",357,"23.11","false_sharing","10",".11",""
"358","29",358,"29.11","reduction","20",".11",""
"359","20",359,"20.11","seq","8",".11",""
"360","24",360,"24.11","reduction","10",".11",""
"361","17",361,"17.11","critical","8",".11",""
"362","33",362,"33.11","false_sharing","40",".11",""
"363","16",363,"16.11","base","8",".11",""
"364","26",364,"26.11","base","20",".11",""
"365","14",365,"14.11","reduction","4",".11",""
"366","7",366,"7.11","critical","2",".11",""
"367","10",367,"10.11","seq","2",".11",""
"368","35",368,"35.11","seq","40",".11",""
"369","2",369,"2.11","critical","1",".11",""
"370","32",370,"32.11","critical","40",".11",""
"371","22",371,"22.11","critical","10",".11",""
"372","28",372,"28.11","false_sharing","20",".11",""
"373","11",373,"11.11","base","4",".11",""
"374","21",374,"21.11","base","10",".11",""
"375","19",375,"19.11","reduction","8",".11",""
"376","31",376,"31.11","base","40",".11",""
"377","34",377,"34.11","reduction","40",".11",""
"378","1",378,"1.11","base","1",".11",""
"379","25",379,"25.11","seq","10",".11",""
"380","9",380,"9.11","reduction","2",".11",""
"381","6",381,"6.11","base","2",".11",""
"382","30",382,"30.11","seq","20",".11",""
"383","3",383,"3.11","false_sharing","1",".11",""
"384","5",384,"5.11","seq","1",".11",""
"385","12",385,"12.11","critical","4",".11",""
"386","15",386,"15.12","seq","4",".12",""
"387","23",387,"23.12","false_sharing","10",".12",""
"388","35",388,"35.12","seq","40",".12",""
"389","8",389,"8.12","false_sharing","2",".12",""
"390","30",390,"30.12","seq","20",".12",""
"391","26",391,"26.12","base","20",".12",""
"392","14",392,"14.12","reduction","4",".12",""
"393","9",393,"9.12","reduction","2",".12",""
"394","6",394,"6.12","base","2",".12",""
"395","3",395,"3.12","false_sharing","1",".12",""
"396","17",396,"17.12","critical","8",".12",""
"397","19",397,"19.12","reduction","8",".12",""
"398","4",398,"4.12","reduction","1",".12",""
"399","11",399,"11.12","base","4",".12",""
"400","1",400,"1.12","base","1",".12",""
"401","27",401,"27.12","critical","20",".12",""
"402","18",402,"18.12","false_sharing","8",".12",""
"403","12",403,"12.12","critical","4",".12",""
"404","22",404,"22.12","critical","10",".12",""
"405","10",405,"10.12","seq","2",".12",""
"406","33",406,"33.12","false_sharing","40",".12",""
"407","20",407,"20.12","seq","8",".12",""
"408","32",408,"32.12","critical","40",".12",""
"409","2",409,"2.12","critical","1",".12",""
"410","5",410,"5.12","seq","1",".12",""
"411","28",411,"28.12","false_sharing","20",".12",""
"412","13",412,"13.12","false_sharing","4",".12",""
"413","29",413,"29.12","reduction","20",".12",""
"414","21",414,"21.12","base","10",".12",""
"415","7",415,"7.12","critical","2",".12",""
"416","34",416,"34.12","reduction","40",".12",""
"417","25",417,"25.12","seq","10",".12",""
"418","31",418,"31.12","base","40",".12",""
"419","24",419,"24.12","reduction","10",".12",""
"420","16",420,"16.12","base","8",".12",""
"421","14",421,"14.13","reduction","4",".13",""
"422","16",422,"16.13","base","8",".13",""
"423","29",423,"29.13","reduction","20",".13",""
"424","6",424,"6.13","base","2",".13",""
"425","15",425,"15.13","seq","4",".13",""
"426","35",426,"35.13","seq","40",".13",""
"427","3",427,"3.13","false_sharing","1",".13",""
"428","23",428,"23.13","false_sharing","10",".13",""
